date,strategy,direction,atm,entry,vix,move_pct,pnl_pts,pnl_inr,win
2022-08-23,S4_MOMENTUM,BULL,17600,231.81,19.049999237060547,0.5,2.74,68.0,True
2022-08-25,S4_MOMENTUM,BEAR,17500,197.63,19.56999969482422,0.47,-3.0,-75.0,False
2022-08-29,S4_MOMENTUM,BEAR,17300,201.78,19.81999969482422,1.4,-3.0,-75.0,False
2022-08-30,S4_MOMENTUM,BULL,17750,243.38,18.700000762939453,2.58,-3.0,-75.0,False
2022-09-01,S4_MOMENTUM,BEAR,17550,214.14,19.8700008392334,1.22,0.34,8.0,True
2022-09-05,S4_MOMENTUM,BULL,17650,259.21,19.65999984741211,0.72,-1.02,-26.0,False
2022-09-08,S4_MOMENTUM,BULL,17800,233.49,18.309999465942383,0.99,3.46,86.0,True
2022-09-12,S4_MOMENTUM,BULL,17950,224.79,17.940000534057617,0.58,8.0,200.0,True
2022-09-13,S4_MOMENTUM,BULL,18050,234.39,17.469999313354492,0.75,-3.0,-75.0,False
2022-09-14,S4_MOMENTUM,BEAR,18000,193.16,18.280000686645508,0.37,8.0,200.0,True
2022-09-15,S4_MOMENTUM,BEAR,17900,203.6,18.38999938964844,0.7,8.0,200.0,True
2022-09-16,S4_MOMENTUM,BEAR,17550,218.13,19.81999969482422,1.94,-3.0,-75.0,False
2022-09-19,S4_MOMENTUM,BULL,17600,265.55,19.940000534057617,0.52,8.0,200.0,True
2022-09-20,S4_MOMENTUM,BULL,17800,248.96,18.799999237060547,1.1,-3.0,-75.0,False
2022-09-21,S4_MOMENTUM,BEAR,17700,198.71,19.32999992370605,0.55,8.0,200.0,True
2022-09-22,S4_MOMENTUM,BEAR,17650,205.39,18.81999969482422,0.5,8.0,200.0,True
2022-09-23,S4_MOMENTUM,BEAR,17350,227.58,20.59000015258789,1.72,8.0,200.0,True
2022-09-26,S4_MOMENTUM,BEAR,17000,224.96,21.88999938964844,1.8,0.89,22.0,True
2022-09-28,S4_MOMENTUM,BEAR,16850,228.31,22.100000381469727,0.87,4.05,101.0,True
2022-09-30,S4_MOMENTUM,BULL,17100,244.07,19.96999931335449,1.64,-3.0,-75.0,False
2022-10-03,S4_MOMENTUM,BEAR,16900,227.3,21.3700008392334,1.21,-3.0,-75.0,False
2022-10-04,S4_MOMENTUM,BULL,17250,254.6,19.56999969482422,2.29,8.0,200.0,True
2022-10-06,S4_MOMENTUM,BULL,17350,233.37,19.31999969482422,0.33,-1.72,-43.0,False
2022-10-10,S4_MOMENTUM,BEAR,17250,206.6,19.6200008392334,0.43,8.0,200.0,True
2022-10-11,S4_MOMENTUM,BEAR,17000,218.01,20.489999771118164,1.49,-3.0,-75.0,False
2022-10-12,S4_MOMENTUM,BULL,17100,260.56,20.18000030517578,0.82,-3.0,-75.0,False
2022-10-13,S4_MOMENTUM,BEAR,17000,203.2,20.290000915527344,0.64,-3.0,-75.0,False
2022-10-14,S4_MOMENTUM,BULL,17200,216.9,18.26000022888184,1.01,8.0,200.0,True
2022-10-17,S4_MOMENTUM,BULL,17300,232.62,18.420000076293945,0.73,8.0,200.0,True
2022-10-18,S4_MOMENTUM,BULL,17500,210.36,17.450000762939453,1.01,2.53,63.0,True
2022-10-24,S4_MOMENTUM,BULL,17750,211.19,17.420000076293945,0.88,-3.0,-75.0,False
2022-10-25,S4_MOMENTUM,BEAR,17650,166.99,16.8799991607666,0.42,-3.0,-75.0,False
2022-10-27,S4_MOMENTUM,BULL,17750,201.5,16.600000381469727,0.46,4.99,125.0,True
2022-10-31,S4_MOMENTUM,BULL,18000,204.19,15.800000190734863,1.27,8.0,200.0,True
